CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE
CHEMBL2069339	1359477	CHEMBL2069339	1359477		4d	290.36	3.7	63.83	0	Cc1ccnc(Nc2cccc(n2)c3cccc(CN)c3)c1	10984679	IC50	=	1671	nM	5.78				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL69863	108981	CHEMBL69863	108981	PICEATANNOL	12, Piceatannol	244.24	2.85	80.92	0	Oc1cc(O)cc(\C=C\c2ccc(O)c(O)c2)c1	12108597	EC50	=	5000	nM	5.3				861829	CHEMBL2173422	B	Inhibition of SYK in human basophils assessed as reduction in anti-IgE-stimulated histamine release	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL1272116	711375	CHEMBL1272116	711375		63	440.97	4.05	85.86	0	CC(C)c1n[nH]c(Cl)c1c2ccnc(Nc3ccc(cn3)N4CCC(CC4)N(C)C)n2	3523923	IC50	>	10000	nM					676352	CHEMBL1273653	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			53568	CHEMBL1269009	21038853	J. Med. Chem.	2010	53	22	7938
CHEMBL2069352	1359490	CHEMBL2069352	1359490		19d	459.55	1.14	119.99	0	O=C(Nc1cc(Nc2cnccn2)nc(c1)c3ccnc(c3)N4CCNCC4)C5CCNCC5	10984696	IC50	=	4	nM	8.4				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL2170739	1430226	CHEMBL1375018	798902		13, ER-27319	280.36	3.37	46.33	0	Cc1ccc2C(=O)c3ccccc3N(CCCN)c2c1C.OC(=O)C(=O)O	12108583	IC50	=	10000	nM	5				861807	CHEMBL2173400	B	Inhibition of SYK in human mast cells by immunoprecipitation assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL474582	459601	CHEMBL474582	459601		10a	372.38	.56	154.71	0	COc1cc(Nc2nc(NCCN)n3cnnc3c2C(=O)N)cc(OC)c1	2575680	IC50	=	9	nM	8.05				490569	CHEMBL981176	B	Inhibition of human Syk	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			43944	CHEMBL1155791	18585046	Bioorg. Med. Chem.	2008	16	15	7347
CHEMBL515271	459205	CHEMBL515271	459205		84, R112	312.3	3.93	90.3	0	Oc1cccc(Nc2ncc(F)c(Nc3cccc(O)c3)n2)c1	12108561	EC50	=	353	nM	6.45				861801	CHEMBL2173394	B	Inhibition of SYK assessed as reduction in anti-IgE-mediated tryptase release by cell based assay	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL481397	473028	CHEMBL481397	473028		10g	432.48	3.29	115.8	0	COc1cc(Nc2nc(N[C@H](C)c3ccccc3)n4ccnc4c2C(=O)N)cc(OC)c1	2592604	IC50	>	10000	nM					560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL318079	172674	CHEMBL318079	172674		27	361.39	2.42	72.36	0	CNC(=O)c1ccc2NC(=O)\C(=C/c3cn(C)c4ccc(OC)cc34)\c2c1	12108625	IC50	=	145	nM	6.84				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL2170582	1430067	CHEMBL2170582	1430067		85, R343	474.39	3.45	126.5	0	CNC(=O)COc1cccc(Nc2ncc(F)c(Nc3ccc4OC(F)(F)C(=O)Nc4c3)n2)c1	12108598	Ki	=	1.8	nM	8.74				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL2046643	1350057	CHEMBL2046643	1350057		21	407.43	3.83	84.14	0	CC(C)C[C@H]1CN(CCN1)c2ccc(c(n2)C(=O)c3cccnc3N)C(F)(F)F	10941283	Ki	>	4000	nM					828112	CHEMBL2049851	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			62548	CHEMBL2046282	22738630	Bioorg. Med. Chem. Lett.	2012	22	14	4645
CHEMBL475251	460144	CHEMBL475251	460144		3, R406	470.45	3.88	128.75	0	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	12108533	EC50	=	10	nM	8				861671	CHEMBL2173008	B	Inhibition of SYK in OVA-challenged and IgE-sensitized cells assessed as reduction in IL13 release	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL475251	460144	CHEMBL475251	460144		3, R406	470.45	3.88	128.75	0	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	12108534	EC50	=	10	nM	8				861672	CHEMBL2173009	B	Inhibition of SYK in OVA-challenged and IgE-sensitized cells assessed as reduction in IL6 release	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL479821	473368	CHEMBL479821	473368		22	475.5	1.95	158.89	0	COc1cc(Nc2nc(NCc3ccc(CC(=O)N)cc3)n4ccnc4c2C(=O)N)cc(OC)c1	2592623	IC50	=	1900	nM	5.72				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL480014	473369	CHEMBL480014	473369		26	516.55	3.59	142.1	1	CCOC(=O)\C=C\c1ccc(CNc2nc(Nc3cc(OC)cc(OC)c3)c(C(=O)N)c4nccn24)cc1	2592624	IC50	>	10000	nM					560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL1835870	1179929	CHEMBL1835870	1179929		1, VX-322	419.52	3.95	94.12	0	Nc1nc(Nc2ccc(cc2)[C@@H]3CC[C@H](CC3)N4CCOCC4)nn1c5ccccn5	8059497	Ki	=	220	nM	6.66				806859	CHEMBL1958987	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			61246	CHEMBL1955771	22221201	J. Med. Chem.	2012	55	2	725
CHEMBL284675	44126	CHEMBL284675	44126		34	308.38	2.38	73.06	0	COc1ccc(cc1)c2cc3ncccc3c(NCCCN)n2	12108617	IC50	=	140	nM	6.85				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL512190	459724	CHEMBL512190	459724		10o	419.44	1.76	128.69	0	COc1cc(Nc2nc(NCc3ccncc3)n4ccnc4c2C(=O)N)cc(OC)c1	2592612	IC50	=	2300	nM	5.64				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL2069342	1359480	CHEMBL2069342	1359480		7e	346.43	3.22	79.96	0	Cc1ccnc(Nc2cccc(n2)c3ccnc(c3)N4CCC(N)C4)c1	10984686	IC50	=	450	nM	6.35				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL482175	472947	CHEMBL482175	472947		10c	371.39	.5	141.82	0	COc1cc(Nc2nc(NCCN)n3ccnc3c2C(=O)N)cc(OC)c1	2592600	IC50	=	230	nM	6.64				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL514409	512926	CHEMBL514409	512926	HESPERADIN	7	516.65	4.07	98.91	1	CCS(=O)(=O)Nc1ccc2NC(=O)\C(=C(/Nc3ccc(CN4CCCCC4)cc3)\c5ccccc5)\c2c1	2480752	Activity	=	1.3	%					538083	CHEMBL1024905	B	Binding affinity to human SYK at 10 uM relative to control	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44776	CHEMBL1151712	19035792	J. Med. Chem.	2008	51	24	7898
CHEMBL33984	44695	CHEMBL33984	44695		37	376.38	3.75	73.06	0	COc1ccc(cc1)c2cc3nc(ccc3c(NCCCN)n2)C(F)(F)F	12108614	IC50	>	30	ug.mL-1					861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL2069336	1359474	CHEMBL2069336	1359474		7a	320.39	2.96	88.75	0	Cc1ccnc(Nc2cccc(n2)c3ccnc(NCCN)c3)c1	10984682	IC50	=	200	nM	6.7				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL475609	459602	CHEMBL475609	459602		10d	426.47	1.99	154.71	0	COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4cnnc4c2C(=O)N)cc(OC)c1	2575677	IC50	=	9	nM	8.05				490569	CHEMBL981176	B	Inhibition of human Syk	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			43944	CHEMBL1155791	18585046	Bioorg. Med. Chem.	2008	16	15	7347
CHEMBL515271	459205	CHEMBL515271	459205		84, R112	312.3	3.93	90.3	0	Oc1cccc(Nc2ncc(F)c(Nc3cccc(O)c3)n2)c1	12108558	EC50	=	115	nM	6.94				861799	CHEMBL2173392	B	Inhibition of SYK assessed as reduction in LTC4 secretion by cell based assay	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL583187	571127	CHEMBL583187	571127		20c	393.46	2.64	113.4	0	O[C@H]1CCN(CC2=Nc3c(sc4ccc(cc34)c5ccc(O)cc5)C(=O)N2)C1	2943276	Ki	>	1000	nM					588874	CHEMBL1060319	B	Inhibition of SYK by HTRF assay	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			48531	CHEMBL1154637	19842661	J. Med. Chem.	2009	52	21	6621
CHEMBL515271	459205	CHEMBL515271	459205		84, R112	312.3	3.93	90.3	0	Oc1cccc(Nc2ncc(F)c(Nc3cccc(O)c3)n2)c1	12108599	Ki	=	96	nM	7.02				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL417315	44786	CHEMBL417315	44786		32	264.32	3.87	34.15	0	CNc1nc(cc2ccccc12)c3ccc(OC)cc3	12108619	IC50	>	30	ug.mL-1					861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL941	88797	CHEMBL941	88797	IMATINIB	7	493.6	4.22	86.28	0	CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1	12108638	Ki	=	5000	nM	5.3				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL475882	490278	CHEMBL475882	490278		14b	532.59	3.59	163.94	1	COc1cccc(c1)c2nc3c(C(=O)N)c(Nc4cc(OC)cc(OC)c4)nc(N[C@H]5CCCC[C@H]5N)n3n2	2575673	IC50	=	120	nM	6.92				490569	CHEMBL981176	B	Inhibition of human Syk	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			43944	CHEMBL1155791	18585046	Bioorg. Med. Chem.	2008	16	15	7347
CHEMBL508242	473027	CHEMBL508242	473027		10f	432.48	3.24	115.8	0	COc1cc(Nc2nc(NCCc3ccccc3)n4ccnc4c2C(=O)N)cc(OC)c1	2592603	IC50	=	4800	nM	5.32				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
